cell_id,city_id,week,category,elicitation,mechanism,n_jobs,match_rate,mean_days_to_match,cancel_rate,messages_per_job,provider_inbox_per_day,provider_response_rate,avg_price,price_sd,consumer_surplus_per_job,provider_profit_per_job,total_surplus_per_job,net_welfare_per_job,herfindahl_providers,reciprocity_obs,pref_density_i,pref_density_j,pref_density_both
city000_w00_easy,city000,0,easy,ai,search,60,0.38333333333333336,1.0,0.0,0.0,0.0,0.0,201.81143478260873,51.32932432814784,-6.665016666666668,15.183349999999999,8.518349999999998,7.560016666666667,0.06887052341597796,0.10666666666666667,0.8045238095238095,0.8038095238095239,0.645952380952381
city000_w00_hard,city000,0,hard,ai,central,60,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,351.05030000000005,159.3166747714543,-2.831216666666666,12.641449999999999,9.810216666666667,9.393550000000001,0.06887052341597796,0.03666666666666667,0.79,0.8142857142857143,0.6466666666666666
city000_w01_easy,city000,1,easy,ai,central,60,0.2833333333333333,1.0,0.058823529411764705,0.0,1.6571428571428573,0.9630541871921182,213.73470588235293,57.021694259471005,-4.751666666666665,11.440966666666666,6.6893,5.9393,0.08390022675736959,0.09666666666666666,0.805952380952381,0.814047619047619,0.6552380952380953
city000_w01_hard,city000,1,hard,ai,search,60,0.06666666666666667,3.5,0.0,13.533333333333333,1.6571428571428573,0.9630541871921182,299.301,81.04174687571009,5.365883333333333,4.962000000000001,10.327866666666667,3.6861999999999995,0.08390022675736959,0.02666666666666667,0.8157142857142857,0.7954761904761904,0.65
city001_w00_easy,city001,0,easy,ai,central,60,0.2833333333333333,1.0,0.17647058823529413,0.0,0.0,0.0,186.76847058823535,45.53546353821059,-4.445849999999999,9.386166666666668,4.940250000000001,4.106916666666667,0.06444444444444444,0.1,0.8102380952380952,0.8030952380952381,0.650952380952381
city001_w00_hard,city001,0,hard,standard,central,60,0.21666666666666667,1.0,0.0,0.0,0.0,0.0,382.0332307692307,148.01391108673639,0.13941666666666613,16.779316666666666,16.918733333333332,16.377066666666668,0.06444444444444444,0.06333333333333334,0.6873809523809524,0.8183333333333334,0.5688095238095238
city001_w01_easy,city001,1,easy,standard,central,60,0.36666666666666664,1.0,0.0,0.0,1.5591836734693878,0.9502617801047121,176.6352272727273,39.49050175124311,-0.30213333333333353,8.680150000000001,8.378049999999998,7.461383333333332,0.068359375,0.09666666666666666,0.7716666666666666,0.7423809523809524,0.574047619047619
city001_w01_hard,city001,1,hard,standard,search,60,0.16666666666666666,3.2,0.1,12.733333333333333,1.5591836734693878,0.9502617801047121,332.13129999999995,87.2122124183305,6.21115,13.543000000000001,19.75415,13.545816666666667,0.068359375,0.056666666666666664,0.7169047619047619,0.7390476190476191,0.5297619047619048
city002_w00_easy,city002,0,easy,standard,central,60,0.25,1.0,0.13333333333333333,0.0,1.506122448979592,0.962059620596206,187.07046666666665,46.931439411834226,-3.0854833333333334,5.966949999999999,2.8815,2.1731666666666665,0.048751486325802604,0.07,0.7619047619047619,0.8054761904761905,0.6152380952380953
city002_w00_hard,city002,0,hard,ai,search,60,0.23333333333333334,3.357142857142857,0.0,12.3,1.506122448979592,0.962059620596206,346.0505714285714,132.70154583165146,6.324483333333332,18.805966666666663,25.130433333333333,19.097099999999998,0.048751486325802604,0.05,0.7888095238095238,0.8304761904761905,0.6533333333333333
