cell_id,city_id,week,category,elicitation,mechanism,n_jobs,match_rate,mean_days_to_match,cancel_rate,messages_per_job,provider_inbox_per_day,provider_response_rate,avg_price,price_sd,consumer_surplus_per_job,provider_profit_per_job,total_surplus_per_job,net_welfare_per_job,herfindahl_providers,reciprocity_obs,pref_density_i,pref_density_j,pref_density_both
city000_w00_easy,city000,0,easy,ai,search,60,0.45,1.0,0.1111111111111111,0.0,0.0,0.0,195.4936666666667,47.473982626114434,15.937600000000003,17.816766666666663,33.75433333333334,32.504333333333335,0.06786703601108031,0.16333333333333333,0.8573809523809524,0.8583333333333333,0.7364285714285714
city000_w00_hard,city000,0,hard,ai,central,60,0.18333333333333332,1.0,0.09090909090909091,0.0,0.0,0.0,418.3363636363636,183.24559907472417,-3.956800000000002,19.485533333333333,15.528716666666668,15.028716666666668,0.06786703601108031,0.05333333333333334,0.8397619047619047,0.8642857142857143,0.7252380952380952
city000_w01_easy,city000,1,easy,ai,central,60,0.43333333333333335,1.0,0.0,0.0,1.563265306122449,0.9856396866840731,219.9016538461538,50.14086463629626,10.666916666666669,20.894633333333335,31.56155,30.478216666666665,0.04671280276816608,0.15333333333333332,0.8564285714285714,0.8642857142857143,0.7411904761904762
city000_w01_hard,city000,1,hard,ai,search,60,0.13333333333333333,2.375,0.25,12.766666666666667,1.563265306122449,0.9856396866840731,357.78662499999996,92.84395141763024,6.148366666666665,12.550199999999998,18.6986,12.3611,0.04671280276816608,0.043333333333333335,0.8647619047619047,0.8507142857142858,0.7359523809523809
city001_w00_easy,city001,0,easy,ai,central,60,0.36666666666666664,1.0,0.045454545454545456,0.0,0.0,0.0,185.97563636363637,44.07109201489431,14.375266666666668,12.047166666666666,26.422466666666665,25.464133333333333,0.05401662049861497,0.13666666666666666,0.8661904761904762,0.8614285714285714,0.7464285714285714
city001_w00_hard,city001,0,hard,standard,central,60,0.26666666666666666,1.0,0.0625,0.0,0.0,0.0,392.39006249999994,159.19317633469458,24.29138333333333,20.78695,45.07835,44.370016666666665,0.05401662049861497,0.1,0.7295238095238096,0.8671428571428571,0.6352380952380953
city001_w01_easy,city001,1,easy,standard,central,60,0.5,1.0,0.03333333333333333,0.0,1.4612244897959183,0.9902234636871509,179.89849999999996,35.95415565233613,28.72091666666666,12.931649999999998,41.65258333333335,40.360916666666675,0.057851239669421475,0.19333333333333333,0.8173809523809524,0.7847619047619048,0.6411904761904762
city001_w01_hard,city001,1,hard,standard,search,60,0.23333333333333334,2.5714285714285716,0.14285714285714285,11.933333333333334,1.4612244897959183,0.9902234636871509,342.96285714285716,120.57038285764693,34.26703333333333,20.87506666666667,55.142100000000006,49.204600000000006,0.057851239669421475,0.1,0.7595238095238095,0.7830952380952381,0.5919047619047619
city002_w00_easy,city002,0,easy,standard,central,60,0.2833333333333333,1.0,0.17647058823529413,0.0,1.4489795918367347,0.9915492957746479,188.03323529411765,48.47524055965248,8.970416666666669,8.900416666666668,17.870766666666665,17.037433333333336,0.04325259515570933,0.09333333333333334,0.8121428571428572,0.8626190476190476,0.7019047619047619
city002_w00_hard,city002,0,hard,ai,search,60,0.2833333333333333,3.176470588235294,0.11764705882352941,11.833333333333334,1.4489795918367347,0.9915492957746479,353.20252941176466,108.74620543214236,46.026916666666665,26.319683333333337,72.34668333333333,66.45501666666665,0.04325259515570933,0.09,0.849047619047619,0.8769047619047619,0.7435714285714285
